postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
140101,101 C'WEALTH CRES,101,C'WEALTH CRES,10,1964,62,QUEENSTOWN,76,,4473.0,4651.0,4673.0,4909.0,5309.0,5079.0,,6579.5,10.0,34.0,HOLLAND VILLAGE,672.0
120101,101 CLEMENTI ST 14,101,CLEMENTI ST 14,15,1984,42,CLEMENTI,112,5726.0,6488.0,,6054.5,,,,6715.0,7042.5,4.0,,CLEMENTI,883.0
670101,101 GANGSA RD,101,GANGSA RD,13,1986,40,BUKIT PANJANG,60,4549.0,3836.0,,4512.0,4752.0,,5232.0,5903.0,5708.0,5.0,20.1,PETIR,179.0
150101,101 HENDERSON CRES,101,HENDERSON CRES,12,1967,59,BUKIT MERAH,96,5527.0,5851.0,5404.5,,5304.0,6148.5,6216.0,5676.0,,7.0,,REDHILL,555.0
530101,101 HOUGANG AVE 1,101,HOUGANG AVE 1,9,1983,43,HOUGANG,108,3779.0,,3715.0,3824.0,3974.0,,4623.0,5534.0,5971.0,5.0,50.3,KOVAN,910.0
321101,101 JLN RAJAH,101,JLN RAJAH,17,1980,46,KALLANG/WHAMPOA,128,4457.5,4574.0,4553.0,4734.0,5160.0,6064.0,5871.5,5904.0,6489.0,16.0,25.8,TOA PAYOH,563.0
600101,101 JURONG EAST ST 13,101,JURONG EAST ST 13,16,1982,44,JURONG EAST,238,,4485.5,4322.0,4691.0,5019.0,5471.0,5478.0,6029.0,6213.0,28.0,23.799999999999997,JURONG EAST INTERCHANGE,569.0
410101,101 LENGKONG TIGA,101,LENGKONG TIGA,4,1988,38,BEDOK,10,,,,,6233.0,6000.0,,,,2.0,,KEMBANGAN,513.0
510101,101 PASIR RIS ST 12,101,PASIR RIS ST 12,13,1988,38,PASIR RIS,96,4240.0,4246.5,4359.5,4589.0,4881.0,5651.0,5797.0,6027.0,6384.0,15.0,30.8,PASIR RIS INTERCHANGE,1136.0
350101,101 POTONG PASIR AVE 1,101,POTONG PASIR AVE 1,16,1984,42,TOA PAYOH,120,5103.5,5824.5,5631.0,6216.0,6081.0,6284.0,7297.0,8135.0,8243.0,16.0,35.6,POTONG PASIR,212.0
