latitude,longitude,postal,address,block,street_name,max_floor_lvl,year_completed,town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,smallunit_sold
1.36084443929401,103.845181154251,570240,240 BISHAN ST 22,240,BISHAN ST 22,4,1990,BISHAN,8,0,0,0,8,0,0
1.35048816023777,103.754177773165,650240,240 BT BATOK EAST AVE 5,240,BT BATOK EAST AVE 5,13,1984,BUKIT BATOK,172,110,62,0,0,0,0
1.37934514194061,103.771222864624,670240,240 BT PANJANG RING RD,240,BT PANJANG RING RD,12,1987,BUKIT PANJANG,110,0,110,0,0,0,0
1.39075081534736,103.897946867701,540240,240 COMPASSVALE WALK,240,COMPASSVALE WALK,16,1998,SENGKANG,92,0,62,30,0,0,0
1.3564226661287,103.890651695359,530240,240 HOUGANG ST 22,240,HOUGANG ST 22,15,1984,HOUGANG,112,56,56,0,0,0,0
1.34106751096494,103.741573199896,600240,240 JURONG EAST ST 21,240,JURONG EAST ST 21,11,1981,JURONG EAST,80,0,12,68,0,0,0
1.34087644567662,103.850829960636,310240,240 LOR 1 TOA PAYOH,240,LOR 1 TOA PAYOH,9,1985,TOA PAYOH,48,0,0,0,48,0,0
1.37336872347599,103.962796974808,510240,240 PASIR RIS ST 21,240,PASIR RIS ST 21,13,1992,PASIR RIS,60,0,0,0,60,0,0
1.35323767469816,103.869412535838,550240,240 SERANGOON AVE 2,240,SERANGOON AVE 2,12,1984,SERANGOON,88,0,88,0,0,0,0
1.35500406974434,103.947121420342,520240,240 TAMPINES ST 21,240,TAMPINES ST 21,12,1983,TAMPINES,110,66,44,0,0,0,0
1.43269871879609,103.839369131479,760240,240 YISHUN RING RD,240,YISHUN RING RD,12,1984,YISHUN,110,0,16,94,0,0,0
1.3410034994554,103.742339009867,601240,240A JURONG EAST AVE 1,240A,JURONG EAST AVE 1,22,2019,JURONG EAST,63,63,0,0,0,0,0
1.36082968527378,103.84547335577,570241,241 BISHAN ST 22,241,BISHAN ST 22,21,1990,BISHAN,100,0,66,24,10,0,0
1.37971696912364,103.771871254159,670241,241 BT PANJANG RING RD,241,BT PANJANG RING RD,11,1987,BUKIT PANJANG,80,0,44,36,0,0,0
1.3508952364452,103.75454446951,650241,241 BT BATOK EAST AVE 5,241,BT BATOK EAST AVE 5,13,1984,BUKIT BATOK,173,110,63,0,0,0,0
1.38999929694363,103.897698680698,540241,241 COMPASSVALE WALK,241,COMPASSVALE WALK,16,1998,SENGKANG,90,0,45,45,0,0,0
1.35650868784233,103.891840640482,530241,241 HOUGANG ST 22,241,HOUGANG ST 22,12,1984,HOUGANG,158,100,58,0,0,0,0
1.3414812934447,103.742973359591,600241,241 JURONG EAST ST 24,241,JURONG EAST ST 24,13,1982,JURONG EAST,215,190,24,0,1,0,0
1.33050536301596,103.855776378989,310241,241 KIM KEAT LINK,241,KIM KEAT LINK,9,1988,TOA PAYOH,64,0,48,16,0,0,0
1.37301618639189,103.962368251713,510241,241 PASIR RIS ST 21,241,PASIR RIS ST 21,13,1992,PASIR RIS,48,0,0,0,48,0,0
1.35288178547102,103.870236774547,550241,241 SERANGOON AVE 3,241,SERANGOON AVE 3,11,1985,SERANGOON,124,76,48,0,0,0,0
1.35461516668329,103.947116640698,520241,241 TAMPINES ST 21,241,TAMPINES ST 21,12,1983,TAMPINES,110,66,44,0,0,0,0
1.43212015583779,103.839123120521,760241,241 YISHUN RING RD,241,YISHUN RING RD,10,1984,YISHUN,132,66,54,12,0,0,0
1.36040670735567,103.729569207391,691241,241A TENGAH CTRL,241A,TENGAH CTRL,15,2025,TENGAH,98,0,42,56,0,0,0
1.36004940486431,103.729578866163,692241,241B TENGAH CTRL,241B,TENGAH CTRL,15,2025,TENGAH,98,0,42,56,0,0,0
1.3604239167751,103.729218731938,693241,241C TENGAH CTRL,241C,TENGAH CTRL,15,2025,TENGAH,112,0,28,28,0,0,56
1.36134172851942,103.844874736551,570242,242 BISHAN ST 22,242,BISHAN ST 22,11,1990,BISHAN,70,0,24,46,0,0,0
1.38007208808669,103.771833647326,670242,242 BT PANJANG RING RD,242,BT PANJANG RING RD,12,1987,BUKIT PANJANG,88,0,48,40,0,0,0
1.35095950808957,103.756233418128,650242,242 BT BATOK EAST AVE 5,242,BT BATOK EAST AVE 5,12,1984,BUKIT BATOK,136,68,68,0,0,0,0
1.35738897663765,103.892167860466,530242,242 HOUGANG ST 22,242,HOUGANG ST 22,12,1984,HOUGANG,182,115,67,0,0,0,0
1.34190350538593,103.74279685963,600242,242 JURONG EAST ST 24,242,JURONG EAST ST 24,4,1982,JURONG EAST,12,12,0,0,0,0,0
1.32985845976054,103.855821390119,310242,242 KIM KEAT LINK,242,KIM KEAT LINK,4,1988,TOA PAYOH,46,0,41,5,0,0,0
1.37157810599867,103.962507576752,510242,242 PASIR RIS ST 21,242,PASIR RIS ST 21,13,1992,PASIR RIS,46,0,0,0,46,0,0
1.35269591874852,103.869711017596,550242,242 SERANGOON AVE 3,242,SERANGOON AVE 3,10,1985,SERANGOON,90,0,58,32,0,0,0
1.34315890383485,103.954188106526,520242,242 SIMEI ST 5,242,SIMEI ST 5,11,1995,TAMPINES,66,0,33,33,0,0,0
1.35403883742636,103.946583772874,521242,242 TAMPINES ST 21,242,TAMPINES ST 21,4,1984,TAMPINES,32,16,16,0,0,0,0
1.43270791512175,103.840052416236,760242,242 YISHUN RING RD,242,YISHUN RING RD,10,1984,YISHUN,139,75,55,9,0,0,0
1.361084979743,103.844635646145,570243,243 BISHAN ST 22,243,BISHAN ST 22,23,1990,BISHAN,116,0,116,0,0,0,0
1.34962013436358,103.75643213653,650243,243 BT BATOK EAST AVE 5,243,BT BATOK EAST AVE 5,10,1984,BUKIT BATOK,108,0,20,88,0,0,0
1.3805207559387,103.771291134609,670243,243 BT PANJANG RING RD,243,BT PANJANG RING RD,18,1988,BUKIT PANJANG,68,0,34,34,0,0,0
1.35764144948127,103.891702601254,530243,243 HOUGANG ST 22,243,HOUGANG ST 22,4,1983,HOUGANG,24,16,8,0,0,0,0
1.34206406490644,103.743306656115,600243,243 JURONG EAST ST 24,243,JURONG EAST ST 24,12,1982,JURONG EAST,132,88,44,0,0,0,0
1.33024058590573,103.856533205246,310243,243 KIM KEAT LINK,243,KIM KEAT LINK,4,1988,TOA PAYOH,16,0,10,6,0,0,0
1.37155210403562,103.962993228282,510243,243 PASIR RIS ST 21,243,PASIR RIS ST 21,13,1992,PASIR RIS,47,0,0,0,47,0,0
1.35290196967147,103.868835402916,550243,243 SERANGOON AVE 2,243,SERANGOON AVE 2,13,1985,SERANGOON,96,48,48,0,0,0,0
1.34395928033042,103.955168198066,520243,243 SIMEI ST 5,243,SIMEI ST 5,11,1995,TAMPINES,92,0,54,38,0,0,0
1.35419527444806,103.947122094105,521243,243 TAMPINES ST 21,243,TAMPINES ST 21,12,1983,TAMPINES,110,66,44,0,0,0,0
1.43352112990914,103.840627148063,760243,243 YISHUN RING RD,243,YISHUN RING RD,10,1984,YISHUN,130,75,55,0,0,0,0
1.35997896197323,103.729028704504,691243,243A TENGAH CTRL,243A,TENGAH CTRL,15,2025,TENGAH,112,0,28,28,0,0,56
1.35996295695636,103.728510199814,692243,243B TENGAH CTRL,243B,TENGAH CTRL,15,2025,TENGAH,167,0,28,27,0,0,112
1.36040959224239,103.844372434323,570244,244 BISHAN ST 22,244,BISHAN ST 22,4,1990,BISHAN,6,0,0,0,6,0,0
1.34918269764742,103.757239164878,650244,244 BT BATOK EAST AVE 5,244,BT BATOK EAST AVE 5,12,1984,BUKIT BATOK,136,67,68,0,0,0,0
